2022-05-15 00:05:19 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:105 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:618 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:690 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:554 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:149 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:634 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:181 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:43 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:615 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:442 INFO  HomePage :112 - Clicking on Register Link : [[ChromeDriver: chrome on WINDOWS (5f61c3590f4352f906ba3aa254604962)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 00:05:491 INFO  HomePage :151 - Getting Registration confirm : Proxy element for: DefaultElementLocator 'By.xpath: //div[contains(text(),'Your registration completed')]'
2022-05-15 00:05:302 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:886 INFO  HomePage :112 - Clicking on Register Link : [[ChromeDriver: chrome on WINDOWS (dc4f6a88a256776890d96ceaaf48f945)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 00:05:950 INFO  HomePage :147 - Clicking on Register : [[ChromeDriver: chrome on WINDOWS (dc4f6a88a256776890d96ceaaf48f945)] -> xpath: //button[@id='register-button']]
2022-05-15 00:05:969 INFO  HomePage :161 - Getting FirstName Error : [[ChromeDriver: chrome on WINDOWS (dc4f6a88a256776890d96ceaaf48f945)] -> xpath: //span[@id='FirstName-error']]
2022-05-15 00:05:746 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:413 INFO  HomePage :112 - Clicking on Register Link : [[ChromeDriver: chrome on WINDOWS (7d7ac8876d6b04ad452e185c7f863a71)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 00:05:467 INFO  HomePage :109 - Clicking on Female Gender Radio  : [[ChromeDriver: chrome on WINDOWS (7d7ac8876d6b04ad452e185c7f863a71)] -> xpath: //input[@id='gender-female']]
2022-05-15 00:05:549 INFO  HomePage :114 - Sending FirstName  : Baba to [[ChromeDriver: chrome on WINDOWS (7d7ac8876d6b04ad452e185c7f863a71)] -> xpath: //input[@id='FirstName']]
2022-05-15 00:05:626 INFO  HomePage :119 - Sending text to FirstName : Ramdev to [[ChromeDriver: chrome on WINDOWS (7d7ac8876d6b04ad452e185c7f863a71)] -> xpath: //input[@id='LastName']]
2022-05-15 00:05:832 INFO  HomePage :126 - Selecting BirthDate : 20/June/1975 to [[ChromeDriver: chrome on WINDOWS (7d7ac8876d6b04ad452e185c7f863a71)] -> xpath: //div[@class='date-picker-wrapper']/select[1]] [[ChromeDriver: chrome on WINDOWS (7d7ac8876d6b04ad452e185c7f863a71)] -> xpath: //div[@class='date-picker-wrapper']/select[2]] [[ChromeDriver: chrome on WINDOWS (7d7ac8876d6b04ad452e185c7f863a71)] -> xpath: //div[@class='date-picker-wrapper']/select[3]]
2022-05-15 00:05:906 INFO  HomePage :137 - Sending Password Password123 to [[ChromeDriver: chrome on WINDOWS (7d7ac8876d6b04ad452e185c7f863a71)] -> xpath: //input[@id='Password']]
2022-05-15 00:05:977 INFO  HomePage :142 - Sending Confirm Password Password123 to [[ChromeDriver: chrome on WINDOWS (7d7ac8876d6b04ad452e185c7f863a71)] -> xpath: //input[@id='ConfirmPassword']]
2022-05-15 00:05:35 INFO  HomePage :147 - Clicking on Register : [[ChromeDriver: chrome on WINDOWS (7d7ac8876d6b04ad452e185c7f863a71)] -> xpath: //button[@id='register-button']]
2022-05-15 00:05:49 INFO  HomePage :151 - Getting Registration confirm : Proxy element for: DefaultElementLocator 'By.xpath: //div[contains(text(),'Your registration completed')]'
2022-05-15 00:05:731 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:602 INFO  HomePage :112 - Clicking on Register Link : [[ChromeDriver: chrome on WINDOWS (5531399fcae2fc8f22fa81c902a10d84)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 00:05:628 INFO  HomePage :151 - Getting Registration confirm : Proxy element for: DefaultElementLocator 'By.xpath: //div[contains(text(),'Your registration completed')]'
2022-05-15 00:05:505 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:553 INFO  HomePage :112 - Clicking on Register Link : [[ChromeDriver: chrome on WINDOWS (8b0b3c966d66582c438173470453ca87)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 00:05:614 INFO  HomePage :147 - Clicking on Register : [[ChromeDriver: chrome on WINDOWS (8b0b3c966d66582c438173470453ca87)] -> xpath: //button[@id='register-button']]
2022-05-15 00:05:634 INFO  HomePage :161 - Getting FirstName Error : [[ChromeDriver: chrome on WINDOWS (8b0b3c966d66582c438173470453ca87)] -> xpath: //span[@id='FirstName-error']]
2022-05-15 00:05:428 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:598 INFO  HomePage :112 - Clicking on Register Link : [[ChromeDriver: chrome on WINDOWS (0764f5e850b554d139a2b84cb7cad103)] -> xpath: //a[contains(text(),'Register')]]
2022-05-15 00:05:651 INFO  HomePage :109 - Clicking on Female Gender Radio  : [[ChromeDriver: chrome on WINDOWS (0764f5e850b554d139a2b84cb7cad103)] -> xpath: //input[@id='gender-female']]
2022-05-15 00:05:726 INFO  HomePage :114 - Sending FirstName  : Baba to [[ChromeDriver: chrome on WINDOWS (0764f5e850b554d139a2b84cb7cad103)] -> xpath: //input[@id='FirstName']]
2022-05-15 00:05:801 INFO  HomePage :119 - Sending text to FirstName : Ramdev to [[ChromeDriver: chrome on WINDOWS (0764f5e850b554d139a2b84cb7cad103)] -> xpath: //input[@id='LastName']]
2022-05-15 00:05:935 INFO  HomePage :132 - Sending email babaramdev to [[ChromeDriver: chrome on WINDOWS (0764f5e850b554d139a2b84cb7cad103)] -> xpath: //input[@id='Email']]
